0	0.0958
100	0.3736
200	0.5239
300	0.6326
400	0.5976
500	0.6413
600	0.6117
700	0.6783
800	0.7321
900	0.7418
1000	0.7601
1100	0.7496
1200	0.7278
1300	0.7413
1400	0.7515
1500	0.7704
1600	0.7897
1700	0.7908
1800	0.7962
1900	0.7829
2000	0.8059
2100	0.8193
2200	0.8256
2300	0.8117
2400	0.8223
2500	0.8170
2600	0.8201
2700	0.8185
2800	0.8146
2900	0.8173
3000	0.8218
3100	0.8269
3200	0.8230
3300	0.8211
3400	0.8273
3500	0.8281
3600	0.8260
3700	0.8210
3800	0.8289
3900	0.8286
4000	0.8268
4100	0.8347
4200	0.8350
4300	0.8291
4400	0.8313
4500	0.8334
4600	0.8337
4700	0.8416
4800	0.8423
4900	0.8435
5000	0.8422
5100	0.8414
5200	0.8413
5300	0.8402
5400	0.8426
5500	0.8434
5600	0.8438
5700	0.8468
5800	0.8472
5900	0.8476
6000	0.8459
6100	0.8503
6200	0.8494
6300	0.8498
6400	0.8513
6500	0.8526
6600	0.8521
6700	0.8505
6800	0.8503
6900	0.8507
7000	0.8533
7100	0.8540
7200	0.8518
7300	0.8551
7400	0.8577
7500	0.8574
7600	0.8569
7700	0.8596
7800	0.8613
7900	0.8534
8000	0.8571
8100	0.8586
8200	0.8616
8300	0.8601
8400	0.8626
8500	0.8647
8600	0.8628
8700	0.8654
8800	0.8623
8900	0.8610
9000	0.8619
9100	0.8651
9200	0.8658
9300	0.8664
9400	0.8679
9500	0.8665
9600	0.8680
9700	0.8644
9800	0.8627
9900	0.8645
